year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedsf,company_name,internal_industry,transaction_type,internal_market_cluster,costarid,space_type,cbd_suburban,rba,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing,rent_per_sf,leasing_density,availability_score,year_month,is_sublet,is_direct,norm_leasedsf,norm_rent,norm_density,lease_score
2018,,1.0,Baltimore,750 East Pratt,Baltimore_CBD_Baltimore_750 East Pratt_750 E Pratt St,750 E Pratt St,Northeast,Baltimore,MD,21202.0,CBD,A,26898.0,John Hopkins,"Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",New,Baltimore City,140952,Relet,CBD,41033288.0,6813380.0,0.166045187507275,27.104834876275,22.9540342193405,,,,,,,,,380750.0,0.0008533732701070897,0.0006555165649898687,0.833954812492725,2018-1.0,False,False,0.011627858968342331,0.06370908912458273,0.017506821830060637,-0.009209536601019693
2018,,1.0,Detroit,Brown Street Centre,Detroit_Birmingham Area_Birmingham_Brown Street Centre_255 E Brown St,255 E Brown St,Midwest/Central,Birmingham,MI,48009.0,Birmingham Area,A,26017.0,Wells Fargo,Financial Services And Insurance,TBD,Suburban Detroit,455176,,Suburban,34423167.0,6565982.0,0.190743112044281,20.9981865703684,18.7494093179193,,,,,,,,,435687.0,0.0007206599268908522,0.0007557991395736481,0.809256887955719,2018-1.0,False,False,0.011021624872525691,0.0,0.020346480757788867,0.010512594176346937
2018,,1.0,Los Angeles,Building 2,Los Angeles_Marina/Playa Vista_Playa Vista_Building 2_12105 W Bluff Creek Dr,12105 W Bluff Creek Dr,West,Playa Vista,CA,90094.0,Marina/Playa Vista,O,19140.0,72Andsunny,"Technology, Advertising, Media, And Information",Renewal,Westside,8052706,Relet,Suburban,68338197.0,14154981.0,0.207131320716583,31.902391809038,36.9589964321819,,,,,,,,,834899.0,0.0019309820497482705,0.00028007762627978026,0.792868679283417,2018-1.0,False,False,0.00628942069893768,0.2759143171112079,0.0068756774009331115,-0.07819582363350736
2018,,1.0,Los Angeles,Comerica Bank Building,Los Angeles_Central San Fernando Valley_Sherman Oaks_Comerica Bank Building_15303 Ventura Blvd,15303 Ventura Blvd,West,Sherman Oaks,CA,91403.0,Central San Fernando Valley,A,20000.0,Genesis Capital,Financial Services And Insurance,New,San Fernando Valley,247171,Relet,Suburban,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,0.001847949821609095,0.0001391355956243191,0.815679723160236,2018-1.0,False,False,0.006881204265796148,0.2759143171112079,0.0028846819831941884,-0.07915640883208565
2018,,1.0,Los Angeles,The Tower,Los Angeles_Burbank_Burbank_The Tower_3900 W Alameda Ave,3900 W Alameda Ave,West,Burbank,CA,91505.0,Burbank,A,19092.0,Stalwart Films,"Technology, Advertising, Media, And Information",New,Tri-Cities,248390,Relet,CBD,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,0.0019358368129154565,0.000132818839582975,0.815679723160236,2018-1.0,False,False,0.006256390918461858,0.2759143171112079,0.002705813094341534,-0.07945999483767516
2018,,1.0,Los Angeles,,Los Angeles_West San Fernando Valley_Simi Valley_NA_1757 Tapo Canyon Rd,1757 Tapo Canyon Rd,West,Simi Valley,CA,93063.0,West San Fernando Valley,O,179357.0,Countrywide Financial,Financial Services And Insurance,Renewal,San Fernando Valley,605187,Relet,Suburban,68338197.0,14154981.0,0.207131320716583,31.902391809038,36.9589964321819,,,,,,,,,834899.0,0.0002060638638702805,0.0026245497814348247,0.792868679283417,2018-1.0,False,False,0.11653801108424382,0.2759143171112079,0.07326309629028716,-0.014180161812578682
2018,,1.0,Los Angeles,,Los Angeles_West San Fernando Valley_Calabasas_NA_24025 Park Sorrento,24025 Park Sorrento,West,Calabasas,CA,91302.0,West San Fernando Valley,A,10000.0,The Law Offices Of Gerald L. Marcus,Legal Services,Renewal,San Fernando Valley,251155,,Suburban,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,0.00369589964321819,6.956779781215955e-05,0.815679723160236,2018-1.0,False,False,0.0,0.2759143171112079,0.0009147602997949249,-0.08249986704342388
2018,,1.0,Los Angeles,,Los Angeles_Beverly Hills_Beverly Hills_NA_407 N Maple Dr,407 N Maple Dr,West,Beverly Hills,CA,90210.0,Beverly Hills,A,20754.0,Mosaic Media Group,"Technology, Advertising, Media, And Information",New,Westside,617277,New,CBD,143744668.0,26495057.0,0.184320276839764,39.9017071694796,36.9589964321819,,,,,,,,,2480075.0,0.0017808131652781102,0.0001443810075793559,0.815679723160236,2018-1.0,False,False,0.007400047067437178,0.2759143171112079,0.003033214078122492,-0.07890431208295075
2018,,1.0,Manhattan,1 Park Ave,Manhattan_Park Avenue South_New York_1 Park Ave_One Park Ave,One Park Ave,Northeast,New York,NY,10016.0,Park Avenue South,O,22516.0,Bmg Management,"Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",New,Midtown South,157499,Relet,CBD,199870492.0,20399536.0,0.102063770373868,61.391797776729,73.7398641513934,,,,,,,,,3789831.0,0.0032749984078607837,0.00011265294728948784,0.897936229626132,2018-1.0,False,False,0.008612515259070457,0.8332233838036227,0.0021347841162316222,-0.24588157380258913
2018,,1.0,Manhattan,101109 E 48th St,Manhattan_Plaza South_New York_101109 E 48th St_299 Park Ave,299 Park Ave,Northeast,New York,NY,10171.0,Plaza South,A,29173.0,B Riley Asset Management,Financial Services And Insurance,Restructure,Midtown,157111,Relet,CBD,244192517.0,30297130.0,0.124070673304047,82.4648014546126,73.7398641513934,,,,,,,,,5131601.0,0.002527675047180386,0.00011946721528735461,0.875929326695953,2018-1.0,False,False,0.013193332938810955,0.8332233838036227,0.002327740839135753,-0.2439913597138217
